QueryId,DocumentId
243,clueweb12-0914wb-92-07230
243,clueweb12-0818wb-81-21567
243,clueweb12-0112wb-58-02141
243,clueweb12-0100wb-16-01511
243,clueweb12-1005wb-03-16157
243,clueweb12-0410wb-33-01554
243,clueweb12-0406wb-91-20479
243,clueweb12-0300wb-41-13281
243,clueweb12-0300wb-71-19624
243,clueweb12-0301wb-33-22189
243,clueweb12-0301wb-17-02045
243,clueweb12-0301wb-80-11393
243,clueweb12-0300wb-50-05421
243,clueweb12-0300wb-50-05449
243,clueweb12-0304wb-21-19928
243,clueweb12-1312wb-95-18802
243,clueweb12-0300wb-23-28910
243,clueweb12-0212wb-31-19483
243,clueweb12-0610wb-32-17503
243,clueweb12-0300wb-32-22560
243,clueweb12-0302wb-53-15245
243,clueweb12-0400tw-20-23866
243,clueweb12-0713wb-31-04852
243,clueweb12-1003wb-96-14420
243,clueweb12-0817wb-91-04627
243,clueweb12-1515wb-33-07894
243,clueweb12-1402wb-54-06742
243,clueweb12-0212wb-31-19511
243,clueweb12-0208wb-23-32013
243,clueweb12-0210wb-50-17639
243,clueweb12-0206wb-34-21475
243,clueweb12-0207wb-93-32869
243,clueweb12-0103wb-36-09966
243,clueweb12-0208wb-41-18537
243,clueweb12-0602wb-81-21722
243,clueweb12-0601wb-18-03416
243,clueweb12-0208wb-23-32027
243,clueweb12-0600wb-04-22510
243,clueweb12-0511wb-38-05228
243,clueweb12-0204wb-88-21131
243,clueweb12-0511wb-85-01217
243,clueweb12-0511wb-05-30327
243,clueweb12-0604wb-00-10607
243,clueweb12-0602wb-94-04150
243,clueweb12-0208wb-88-04444
243,clueweb12-0209wb-22-24318
243,clueweb12-0207wb-73-10942
243,clueweb12-0207wb-34-12658
243,clueweb12-0511wb-46-08940
243,clueweb12-0511wb-18-10633
243,clueweb12-0209wb-08-00363
243,clueweb12-0600wb-52-35209
243,clueweb12-0601wb-34-06702
243,clueweb12-0602wb-33-29933
243,clueweb12-0208wb-01-25286
243,clueweb12-0602wb-73-07365
243,clueweb12-0207wb-73-10928
243,clueweb12-0600wb-70-18400
243,clueweb12-0600wb-83-26956
243,clueweb12-0600wb-23-20003
243,clueweb12-0208wb-31-33455
243,clueweb12-0511wb-98-20324
243,clueweb12-0603wb-68-33669
243,clueweb12-0512wb-13-19771
243,clueweb12-0209wb-32-16166
243,clueweb12-0601wb-87-20836
243,clueweb12-0603wb-46-26772
243,clueweb12-0511wb-66-26413
243,clueweb12-0207wb-50-02816
243,clueweb12-0601wb-73-24003
243,clueweb12-0512wb-46-30338
243,clueweb12-0603wb-78-21921
243,clueweb12-0603wb-03-03244
243,clueweb12-0603wb-28-11848
243,clueweb12-0602wb-20-20455
243,clueweb12-0209wb-16-02908
243,clueweb12-0207wb-65-19385
243,clueweb12-0208wb-61-34569
243,clueweb12-0207wb-29-09211
243,clueweb12-0207wb-16-03001
243,clueweb12-0511wb-24-09617
243,clueweb12-0602wb-49-15395
243,clueweb12-0512wb-62-11817
243,clueweb12-0208wb-07-34375
243,clueweb12-0208wb-48-24790
243,clueweb12-0600wb-99-05534
243,clueweb12-0603wb-89-26849
243,clueweb12-0407wb-79-12486
243,clueweb12-0208wb-78-20637
243,clueweb12-0206wb-51-29582
243,clueweb12-0208wb-98-31298
243,clueweb12-0600wb-38-12655
243,clueweb12-0112wb-00-12527
243,clueweb12-0602wb-61-20773
243,clueweb12-0208wb-15-28028
243,clueweb12-0601wb-98-01765
243,clueweb12-0207wb-23-16010
