QueryId,DocumentId
251,clueweb12-1801wb-75-03214
251,clueweb12-0109wb-20-20925
251,clueweb12-1412wb-23-11164
251,clueweb12-1812wb-69-05591
251,clueweb12-1414wb-55-24601
251,clueweb12-0706wb-72-04683
251,clueweb12-1411wb-86-24279
251,clueweb12-0605wb-45-20110
251,clueweb12-0710wb-68-06353
251,clueweb12-0700wb-20-22975
251,clueweb12-0110wb-93-29641
251,clueweb12-0101wb-00-27576
251,clueweb12-1910wb-97-27253
251,clueweb12-0202wb-61-05443
251,clueweb12-0300wb-82-24885
251,clueweb12-1912wb-65-25306
251,clueweb12-0112wb-44-22651
251,clueweb12-0706wb-72-04713
251,clueweb12-0302wb-50-22339
251,clueweb12-0503wb-03-09908
252,clueweb12-0818wb-81-06717
252,clueweb12-0819wb-08-17813
252,clueweb12-0818wb-53-25680
252,clueweb12-0900wb-33-02600
252,clueweb12-1110wb-87-15284
252,clueweb12-0904wb-10-06820
252,clueweb12-0905wb-29-17120
252,clueweb12-0709wb-23-21516
252,clueweb12-1206wb-40-25914
252,clueweb12-0211wb-66-14476
252,clueweb12-0818wb-65-21548
252,clueweb12-0818wb-84-22476
252,clueweb12-0905wb-29-17092
252,clueweb12-0911wb-12-05178
252,clueweb12-0201wb-50-22141
252,clueweb12-0709wb-53-21040
252,clueweb12-1305wb-70-04822
252,clueweb12-1305wb-70-04836
252,clueweb12-0712wb-54-10308
252,clueweb12-0712wb-68-01781
253,clueweb12-1113wb-05-18208
253,clueweb12-1717wb-23-07595
253,clueweb12-1702wb-95-23938
253,clueweb12-0203wb-21-16455
253,clueweb12-0112wb-28-04543
253,clueweb12-1600wb-32-12121
253,clueweb12-0916wb-33-17314
253,clueweb12-1212wb-24-07661
253,clueweb12-0102wb-42-16190
253,clueweb12-1118wb-68-09602
253,clueweb12-1207wb-00-20715
253,clueweb12-1207wb-41-27688
253,clueweb12-1807wb-07-01827
253,clueweb12-0304wb-14-29018
253,clueweb12-1900tw-16-20095
253,clueweb12-1801wb-95-23539
253,clueweb12-1009wb-92-11714
253,clueweb12-0504wb-38-29046
253,clueweb12-0209wb-71-25114
253,clueweb12-0305wb-16-05661
254,clueweb12-0105wb-68-24880
